command_name,description,category_id
ls,"Перегляд вмісту директорії","Файлові команди"
pwd,"Виведення поточного шляху","Файлові команди"
cd,"Перехід між директоріями","Файлові команди"
ping,"Перевірка доступності вузла","Мережеві команди"
ifconfig,"Налаштування мережевих інтерфейсів","Мережеві команди"
top,"Моніторинг активних процесів","Системні команди"
ps,"Перегляд інформації про процеси","Процесорні команди"
chmod,"Зміна прав доступу","Команди доступу"
find,"Пошук файлів за умовою","Команди пошуку"
tar,"Архівація файлів","Команди архівації"
fgh,gh,"Файлові команди"
